T,V,
-0.1066,-0.002,0
-0.1064,0.002,0
-0.1062,0,0
-0.106,0.016,0.2
-0.1058,-0.002,0
-0.1056,0.002,0
-0.1054,-0.006,0
-0.1052,-0.012,0
-0.105,-0.002,0
-0.1048,-0.016,0
-0.1046,-0.006,0
-0.1044,-0.008,0
-0.1042,-0.008,0
-0.104,-0.008,0
-0.1038,-0.014,0
-0.1036,0.006,0
-0.1034,0.014,0
-0.1032,-0.014,0
-0.103,0.008,0
-0.1028,0.024,0.2
-0.1026,0.01,0
-0.1024,-0.006,0
-0.1022,-0.01,0
-0.102,-0.006,0
-0.1018,0.008,0
-0.1016,-0.006,0
-0.1014,0.006,0
-0.1012,-0.014,-0.2
-0.101,0.002,-0.2
-0.1008,-0.006,0
-0.1006,-0.012,0.2
-0.1004,0.004,0
-0.1002,0.03,0
-0.1,0.006,0
-0.0998,0.004,0
-0.0996,-0.004,0
-0.0994,0.008,0.2
-0.0992,-0.008,0.2
-0.099,0.008,0
-0.0988,-0.004,0
-0.0986,0.022,0
-0.0984,-0.002,0
-0.0982,0.002,0
-0.098,0.006,0
-0.0978,-0.01,0
-0.0976,0.006,0
-0.0974,0.004,0
-0.0972,0.014,-0.2
-0.097,-0.014,0
-0.0968,-0.016,0
-0.0966,0.01,0
-0.0964,0.006,0
-0.0962,-0.006,0
-0.096,0.012,0
-0.0958,0,-0.2
-0.0956,0.006,0
-0.0954,-0.016,0
-0.0952,-0.018,0.2
-0.095,-0.008,0
-0.0948,0.014,0.2
-0.0946,0.014,0
-0.0944,-0.022,-0.2
-0.0942,0,0
-0.094,-0.008,0
-0.0938,0.016,0
-0.0936,-0.012,0.2
-0.0934,0.014,0
-0.0932,0.002,0
-0.093,0,0
-0.0928,0.006,0
-0.0926,-0.01,0.2
-0.0924,0.012,0
-0.0922,-0.01,0
-0.092,-0.004,0
-0.0918,0.004,0
-0.0916,-0.004,0
-0.0914,-0.006,0.2
-0.0912,-0.012,0
-0.091,-0.016,0
-0.0908,-0.006,0.2
-0.0906,-0.006,0.2
-0.0904,-0.008,0.2
-0.0902,0.004,0
-0.09,0,0
-0.0898,0.01,0
-0.0896,0.014,0
-0.0894,0.022,0
-0.0892,-0.022,0
-0.089,0.026,0
-0.0888,-0.01,0
-0.0886,0.004,0
-0.0884,-0.016,0
-0.0882,-0.01,0
-0.088,-0.004,0
-0.0878,0,0
-0.0876,-0.006,0
-0.0874,-0.018,0
-0.0872,-0.01,0
-0.087,0.002,0
-0.0868,-0.024,0.2
-0.0866,0.004,0
-0.0864,-0.018,0
-0.0862,0.016,0
-0.086,0.01,0
-0.0858,-0.002,0
